Iestādes nosaukums,name,institution_id,LON,LAT,Vēsturiskie nosaukumi,Veids,Tips,Reģistrācijas numurs,Juridiskais statuss,Reģistrācijas datums,Apliecības izdošanas datums,LR IZM iestādes kods,Dibināšanas datums,Adrese,Adreses kods,Pilsēta,Priekšpilsēta,Iela,Mājas numurs,Pasta indekss,Mācību telpu platība,E-pasts,Mājas lapas adrese,Akreditācija no,Akreditācija līdz,Akreditācijas numurs,Apkaimes nosaukums
"Rīgas 132. pirmsskolas izglītības iestāde ""Ieviņa""","Rīgas 132. pirmsskolas izglītības iestāde ""Ieviņa""",1680,"24,070058","56,933918",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901863,Pastarpinātās pārvaldes iestāde,17.12.2001,17.12.2001,380113,17.12.2001,"VENTSPILS IELA 13a, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,VENTSPILS IELA,13a,LV-1002,733,rpiiievi@riga.lv,,,,,Āgenskalns
"Rīgas 135. pirmsskolas izglītības iestāde ""Liepziediņi""","Rīgas 135. pirmsskolas izglītības iestāde ""Liepziediņi""",936,"24,177722","56,982519",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901680,Pastarpinātās pārvaldes iestāde,12.10.2001,20.02.2002,390107,12.10.2001,"ČIEKURKALNA 1. LĪNIJA 53a, ZIEMEĻU RAJONS, RĪGA, LV-1026",10000,RĪGA,ZIEMEĻU RAJONS,ČIEKURKALNA 1. LĪNIJA,53a,LV-1026,1006,r135pii@riga.lv,,,,,Čiekurkalns
Rīgas 139. pirmsskolas izglītības iestāde,Rīgas 139. pirmsskolas izglītības iestāde,938,"24,062483","56,971965",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901732,Pastarpinātās pārvaldes iestāde,25.10.2001,31.10.2014,350105,25.10.2001,"LIDOŅU IELA 10A, KURZEMES RAJONS, RĪGA, LV-1055",10000,RĪGA,KURZEMES RAJONS,LIDOŅU IELA,10A,LV-1055,1282,r139pii@riga.lv,,,,,Iļģuciems
Rīgas 14. pirmsskolas izglītības iestāde,Rīgas 14. pirmsskolas izglītības iestāde,1069,"24,048718","56,956723",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901723,Pastarpinātās pārvaldes iestāde,23.10.2001,23.10.2001,350102,23.10.2001,"TAPEŠU IELA 48, KURZEMES RAJONS, RĪGA, LV-1083",10000,RĪGA,KURZEMES RAJONS,TAPEŠU IELA,48,LV-1083,2597,r14pii@riga.lv,,,,,Dzirciems
"Rīgas 141. pirmsskolas izglītības iestāde ""Kastanītis""","Rīgas 141. pirmsskolas izglītības iestāde ""Kastanītis""",1365,"24,116492","56,912016",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901887,Pastarpinātās pārvaldes iestāde,15.01.2002,15.01.2002,380115,15.01.2002,"STĒRSTU IELA 19, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,STĒRSTU IELA,19,LV-1004,1170,rpiikast@riga.lv,,,,,Ziepniekkalns
Rīgas 145. pirmsskolas izglītības iestāde,Rīgas 145. pirmsskolas izglītības iestāde,1074,"24,135922","57,017868",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901665,Pastarpinātās pārvaldes iestāde,03.10.2001,03.10.2001,390102,03.10.2001,"MORES IELA 8, ZIEMEĻU RAJONS, RĪGA, LV-1034",10000,RĪGA,ZIEMEĻU RAJONS,MORES IELA,8,LV-1034,606,r145pii@riga.lv,,,,,Mīlgrāvis
Rīgas 148. pirmsskolas izglītības iestāde,Rīgas 148. pirmsskolas izglītības iestāde,949,"24,125537","56,964316",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901775,Pastarpinātās pārvaldes iestāde,21.11.2001,21.11.2001,370110,21.11.2001,"TOMSONA IELA 18, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,TOMSONA IELA,18,LV-1013,1001,r418pii@riga.lv,,,,,Centrs
"Rīgas 149. pirmsskolas izglītības iestāde ""Saulīte""","Rīgas 149. pirmsskolas izglītības iestāde ""Saulīte""",1088,"24,086441","56,926448",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901688,Pastarpinātās pārvaldes iestāde,16.10.2001,16.10.2001,380105,16.10.2001,"BIEŠU IELA 2a, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,BIEŠU IELA,2a,LV-1004,1047,r149saul@riga.lv,,,,,Torņakalns
Rīgas 15. pirmsskolas izglītības iestāde,Rīgas 15. pirmsskolas izglītības iestāde,1636,"24,17622","57,04509",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901866,Pastarpinātās pārvaldes iestāde,17.12.2001,17.12.2001,390114,17.12.2001,"GAILEŅU IELA 5, ZIEMEĻU RAJONS, RĪGA, LV-1023",10000,RĪGA,ZIEMEĻU RAJONS,GAILEŅU IELA,5,LV-1023,775,r15pii@riga.lv,,,,,Jaunciems
Rīgas 152. pirmsskolas izglītības iestāde,Rīgas 152. pirmsskolas izglītības iestāde,1595,"24,242771","56,988622",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901872,Pastarpinātās pārvaldes iestāde,19.12.2001,01.02.2013,370123,19.12.2001,"JUGLAS IELA 1b, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,JUGLAS IELA,1b,LV-1024,1016,r152pii@riga.lv,,,,,Jugla
Rīgas 154. pirmsskolas izglītības iestāde,Rīgas 154. pirmsskolas izglītības iestāde,1541,"24,19668","56,959461",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901826,Pastarpinātās pārvaldes iestāde,03.12.2001,03.12.2001,370115,03.12.2001,"ANDROMEDAS GATVE 3, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,ANDROMEDAS GATVE,3,LV-1084,2054,r154pii@riga.lv,,,,,Purvciems
Rīgas 160. pirmsskolas izglītības iestāde,Rīgas 160. pirmsskolas izglītības iestāde,1023,"24,234408","56,987245",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901860,Pastarpinātās pārvaldes iestāde,17.12.2001,15.11.2012,370121,17.12.2001,"VANGAŽU IELA 40a, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,VANGAŽU IELA,40a,LV-1024,1022,r160pii@riga.lv,,,,,Jugla
Rīgas 161. pirmsskolas izglītības iestāde,Rīgas 161. pirmsskolas izglītības iestāde,1172,"24,1144","57,02871",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901702,Pastarpinātās pārvaldes iestāde,22.10.2001,25.04.2002,390110,22.10.2001,"AUGUSTA DOMBROVSKA IELA 9c, ZIEMEĻU RAJONS, RĪGA, LV-1015",10000,RĪGA,ZIEMEĻU RAJONS,AUGUSTA DOMBROVSKA IELA,9c,LV-1015,1105,r161pii@riga.lv,,,,,Vecmilgrāvis
"Rīgas 162. pirmsskolas izglītības iestāde ""Saulīte""","Rīgas 162. pirmsskolas izglītības iestāde ""Saulīte""",805,"24,133197","57,017655",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901960,Pastarpinātās pārvaldes iestāde,08.02.2002,20.02.2002,390116,08.02.2002,"LĒDURGAS IELA 18a, ZIEMEĻU RAJONS, RĪGA, LV-1034",10000,RĪGA,ZIEMEĻU RAJONS,LĒDURGAS IELA,18a,LV-1034,641,r162pii@riga.lv,,,,,Mīlgrāvis
Rīgas 167. pirmsskolas izglītības iestāde,Rīgas 167. pirmsskolas izglītības iestāde,1745,"24,188762","56,966597",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901726,Pastarpinātās pārvaldes iestāde,23.10.2001,23.10.2001,370108,23.10.2001,"RAUNAS IELA 43b, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,RAUNAS IELA,43b,LV-1084,918,r167pii@riga.lv,,,,,Teika
Rīgas 169. pirmsskolas izglītības iestāde,Rīgas 169. pirmsskolas izglītības iestāde,1040,"24,131448","56,999317",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901701,Pastarpinātās pārvaldes iestāde,22.10.2001,22.10.2001,390109,22.10.2001,"VIESTURA PROSPEKTS 27, ZIEMEĻU RAJONS, RĪGA, LV-1005",10000,RĪGA,ZIEMEĻU RAJONS,VIESTURA PROSPEKTS,27,LV-1005,,r169pii@riga.lv,,,,,Sarkandaugava
Rīgas 170. pirmsskolas izglītības iestāde,Rīgas 170. pirmsskolas izglītības iestāde,1098,"24,134774","56,940901",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901947,Pastarpinātās pārvaldes iestāde,06.02.2002,10.07.2007,360109,06.02.2002,"FIRSA SADOVŅIKOVA IELA 20, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,FIRSA SADOVŅIKOVA IELA,20,LV-1003,926,r170pii@riga.lv,,,,,Maskavas forstate
Rīgas 172. pirmsskolas izglītības iestāde,Rīgas 172. pirmsskolas izglītības iestāde,1104,"24,173291","56,912938",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901942,Pastarpinātās pārvaldes iestāde,04.02.2002,04.02.2002,360107,04.02.2002,"MASKAVAS IELA 252, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,MASKAVAS IELA,252,LV-1063,875,r172pii@riga.lv,www.e-skola.lv,,,,Ķengarags
Rīgas 173. pirmsskolas izglītības iestāde,Rīgas 173. pirmsskolas izglītības iestāde,1148,"24,174385","56,911603",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901918,Pastarpinātās pārvaldes iestāde,25.01.2002,25.01.2002,360105,25.01.2002,"MASKAVAS IELA 254, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,MASKAVAS IELA,254,LV-1063,1793,r173pii@riga.lv,,,,,Ķengarags
Rīgas 180. pirmsskolas izglītības iestāde,Rīgas 180. pirmsskolas izglītības iestāde,877,"24,244026","56,975603",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901901,Pastarpinātās pārvaldes iestāde,17.01.2002,17.01.2002,370127,17.01.2002,"TEBRAS IELA 6a, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,TEBRAS IELA,6a,LV-1064,1909,r180pii@riga.lv,,,,,Jugla
Rīgas 182. pirmsskolas izglītības iestāde,Rīgas 182. pirmsskolas izglītības iestāde,1092,"24,173323","56,96314",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901695,Pastarpinātās pārvaldes iestāde,22.10.2001,22.10.2001,370106,22.10.2001,"DZELZAVAS IELA 17a, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,DZELZAVAS IELA,17a,LV-1084,3072,r182pii@riga.lv,,,,,Purvciems
Rīgas 192. pirmsskolas izglītības iestāde,Rīgas 192. pirmsskolas izglītības iestāde,1458,"24,158276","56,996302",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901742,Pastarpinātās pārvaldes iestāde,29.10.2001,10.07.2007,390112,29.10.2001,"KĀRĻA VATSONA IELA 11a, ZIEMEĻU RAJONS, RĪGA, LV-1014",10000,RĪGA,ZIEMEĻU RAJONS,KĀRĻA VATSONA IELA,11a,LV-1014,1203,r192pii@riga.lv,,,,,Mežaparks
Rīgas 193. pirmsskolas izglītības iestāde,Rīgas 193. pirmsskolas izglītības iestāde,896,"24,183826","56,906085",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901956,Pastarpinātās pārvaldes iestāde,08.02.2002,08.02.2002,360112,08.02.2002,"MASKAVAS IELA 266, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,MASKAVAS IELA,266,LV-1063,856,r193pii@riga.lv,,,,,Ķengarags
Rīgas 197. pirmsskolas izglītības iestāde,Rīgas 197. pirmsskolas izglītības iestāde,1733,"24,027185","57,037157",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901734,Pastarpinātās pārvaldes iestāde,25.10.2001,31.10.2014,350106,25.10.2001,"BIRZES IELA 44A, KURZEMES RAJONS, RĪGA, LV-1016",10000,RĪGA,KURZEMES RAJONS,BIRZES IELA,44A,LV-1016,2080,r197pii@riga.lv,,,,,Daugavgrīva
Rīgas 200. pirmsskolas izglītības iestāde,Rīgas 200. pirmsskolas izglītības iestāde,2096,"24,123294","56,956232",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3401901087,Pastarpinātās pārvaldes iestāde,09.10.2000,09.10.2000,340102,09.10.2000,"AKAS IELA 1, CENTRA RAJONS, RĪGA, LV-1050",10000,RĪGA,CENTRA RAJONS,AKAS IELA,1,LV-1050,887,r200pii@riga.lv,,,,,Centrs
Rīgas 208. pirmsskolas izglītības iestāde,Rīgas 208. pirmsskolas izglītības iestāde,1491,"24,181885","56,917729",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601902022,Pastarpinātās pārvaldes iestāde,11.03.2002,11.03.2002,360127,11.03.2002,"SALASPILS IELA 18/5, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,SALASPILS IELA,18.mai,LV-1057,1321,r208pii@riga.lv,,,,,Ķengarags
"Rīgas 209. pirmsskolas izglītības iestāde ""Bitīte""","Rīgas 209. pirmsskolas izglītības iestāde ""Bitīte""",1738,"24,077278","56,941527",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3801901654,Pastarpinātās pārvaldes iestāde,25.09.2001,26.11.2001,380103,25.09.2001,"BIŠU IELA 5, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002",10000,RĪGA,ZEMGALES PRIEKŠPILSĒTA,BIŠU IELA,5,LV-1002,1041,rpiibiti@riga.lv,,,,,Āgenskalns
"Rīgas 21. pirmsskolas izglītības iestāde ""Laimiņa""","Rīgas 21. pirmsskolas izglītības iestāde ""Laimiņa""",1370,"24,100914","57,03836",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901669,Pastarpinātās pārvaldes iestāde,04.10.2001,04.10.2001,390106,04.10.2001,"KALNGALES IELA 2, ZIEMEĻU RAJONS, RĪGA, LV-1015",10000,RĪGA,ZIEMEĻU RAJONS,KALNGALES IELA,2,LV-1015,1337,rpiilaim@riga.lv,www.laimina.lv,,,,Vecmilgrāvis
Rīgas 210. pirmsskolas izglītības iestāde,Rīgas 210. pirmsskolas izglītības iestāde,1531,"24,048305","57,036334",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901727,Pastarpinātās pārvaldes iestāde,23.10.2001,23.10.2001,350103,23.10.2001,"BRŪŽU IELA 6, KURZEMES RAJONS, RĪGA, LV-1016",10000,RĪGA,KURZEMES RAJONS,BRŪŽU IELA,6,LV-1016,694,r210pii@riga.lv,,,,,Bolderāja
Rīgas 213. pirmsskolas izglītības iestāde,Rīgas 213. pirmsskolas izglītības iestāde,1144,"24,123294","56,965424",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901523,Pastarpinātās pārvaldes iestāde,29.05.2001,29.05.2001,370101,29.05.2001,"VESETAS IELA 11, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,VESETAS IELA,11,LV-1013,893,r213pii@riga.lv,,,,,Skanste
Rīgas 215. pirmsskolas izglītības iestāde,Rīgas 215. pirmsskolas izglītības iestāde,1699,"24,049973","56,952733",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3501901832,Pastarpinātās pārvaldes iestāde,03.12.2001,03.12.2001,350117,03.12.2001,"DĀRZA IELA 19, KURZEMES RAJONS, RĪGA, LV-1083",10000,RĪGA,KURZEMES RAJONS,DĀRZA IELA,19,LV-1083,2883,r215pii@riga.lv,,,,,Dzirciems
Rīgas 216. pirmsskolas izglītības iestāde,Rīgas 216. pirmsskolas izglītības iestāde,1048,"24,179589","56,919884",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601902006,Pastarpinātās pārvaldes iestāde,28.02.2002,28.02.2002,360125,28.02.2002,"SALASPILS IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,SALASPILS IELA,10,LV-1057,1976,r216pii@riga.lv,,,,,Ķengarags
Rīgas 220. pirmsskolas izglītības iestāde,Rīgas 220. pirmsskolas izglītības iestāde,980,"24,179878","56,913091",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901904,Pastarpinātās pārvaldes iestāde,17.01.2002,17.01.2002,360103,17.01.2002,"AGLONAS IELA 4a, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,AGLONAS IELA,4a,LV-1057,2655,r220pii@riga.lv,,,,,Ķengarags
Rīgas 221. pirmsskolas izglītības iestāde,Rīgas 221. pirmsskolas izglītības iestāde,916,"24,139774","56,974304",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901776,Pastarpinātās pārvaldes iestāde,21.11.2001,21.11.2001,370111,21.11.2001,"KAZARMU IELA 1a, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,KAZARMU IELA,1a,LV-1013,1605,r221pii@riga.lv,,,,,Brasa
Rīgas 223. pirmsskolas izglītības iestāde,Rīgas 223. pirmsskolas izglītības iestāde,883,"24,120923","56,997231",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901664,Pastarpinātās pārvaldes iestāde,03.10.2001,03.10.2001,390101,03.10.2001,"APTIEKAS IELA 12, ZIEMEĻU RAJONS, RĪGA, LV-1005",10000,RĪGA,ZIEMEĻU RAJONS,APTIEKAS IELA,12,LV-1005,1196,r223pii@riga.lv,,,,,Sarkandaugava
Rīgas 224. pirmsskolas izglītības iestāde,Rīgas 224. pirmsskolas izglītības iestāde,1501,"24,200553","56,906196",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601901957,Pastarpinātās pārvaldes iestāde,08.02.2002,08.02.2002,360113,08.02.2002,"PRŪŠU IELA 82, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,PRŪŠU IELA,82,LV-1057,2040,r224pii@riga.lv,,,,,Ķengarags
Rīgas 225. pirmsskolas izglītības iestāde,Rīgas 225. pirmsskolas izglītības iestāde,1644,"24,209855","56,902013",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601902043,Pastarpinātās pārvaldes iestāde,27.03.2002,27.03.2002,360133,27.03.2002,"IKŠĶILES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,IKŠĶILES IELA,10,LV-1057,1279,r225pii@riga.lv,,,,,Ķengarags
Rīgas 229. pirmsskolas izglītības iestāde,Rīgas 229. pirmsskolas izglītības iestāde,1583,"24,16519","56,925827",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3601902005,Pastarpinātās pārvaldes iestāde,28.02.2002,28.02.2002,360124,28.02.2002,"OGRES IELA 8, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019",10000,RĪGA,LATGALES PRIEKŠPILSĒTA,OGRES IELA,8,LV-1019,1976,r229pii@riga.lv,,,,,Maskavas forstate
Rīgas 231. pirmsskolas izglītības iestāde,Rīgas 231. pirmsskolas izglītības iestāde,1366,"24,201883","56,956542",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3701901724,Pastarpinātās pārvaldes iestāde,23.10.2001,23.10.2001,370107,23.10.2001,"DZELZAVAS IELA 87, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084",10000,RĪGA,VIDZEMES PRIEKŠPILSĒTA,DZELZAVAS IELA,87,LV-1084,2553,r231pii@riga.lv,,,,,Purvciems
Rīgas 232. pirmsskolas izglītības iestāde,Rīgas 232. pirmsskolas izglītības iestāde,1438,"24,092288","57,038313",,Pirmsskolas izglītības iestāde,Pirmsskolas izglītības iestāde,3901901703,Pastarpinātās pārvaldes iestāde,22.10.2001,22.10.2001,390111,22.10.2001,"AUGUSTA DOMBROVSKA IELA 87, ZIEMEĻU RAJONS, RĪGA, LV-1015",10000,RĪGA,ZIEMEĻU RAJONS,AUGUSTA DOMBROVSKA IELA,87,LV-1015,2607,r232pii@riga.lv,,,,,Vecmilgrāvis
